"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Alvarenga M.; Aguiar Dutra A.R.; Fernandez F.; Thomé R.L.; Junges I.; Nunes N.; Guerra J.B.S.O.A.","Alvarenga, Mariana (57994315500); Aguiar Dutra, Ana Regina (57350444100); Fernandez, Felipe (56941346100); Thomé, Ricardo Lemos (57995097000); Junges, Ivone (57003383400); Nunes, Nei (57189243432); Guerra, José Baltazar Salgueirinho Osório de Andrade (57894329600)","57994315500; 57350444100; 56941346100; 57995097000; 57003383400; 57189243432; 57894329600","Proposal for a model integrating sustainability and social innovation in higher education institutions","2022","International Journal of Sustainability in Higher Education","","","","","","","0","10.1108/IJSHE-07-2021-0301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143404909&doi=10.1108%2fIJSHE-07-2021-0301&partnerID=40&md5=63e6ff2d5a10340343c75963a323e0ec","Article","Article in press","","Scopus","2-s2.0-85143404909"
"Mutalib M.A.; Rafiki A.","Mutalib, Mahazan Abdul (57328618600); Rafiki, Ahmad (56029982300)","57328618600; 56029982300","The role of Islamic spirituality in the management and leadership process","2021","The Role of Islamic Spirituality in the Management and Leadership Process","","","","1","254","253","0","10.4018/978-1-7998-6892-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128040376&doi=10.4018%2f978-1-7998-6892-7&partnerID=40&md5=2cbcfdf61f44371988beb39aa9de589d","Book","Final","","Scopus","2-s2.0-85128040376"
"Donati L.; Wigren-Kristoferson C.","Donati, Letizia (57220834701); Wigren-Kristoferson, Caroline (58090605600)","57220834701; 58090605600","A legitimacy approach to social innovation initiatives at universities","2023","Science and Public Policy","50","2","","194","205","11","0","10.1093/scipol/scac066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160215571&doi=10.1093%2fscipol%2fscac066&partnerID=40&md5=38b8bedb4a17354d36c6e73329b014e5","Article","Final","","Scopus","2-s2.0-85160215571"
"Harrison R.T.; Leitch C.M.; McAdam M.","Harrison, Richard T. (57200948121); Leitch, Claire M. (7006430350); McAdam, Maura (17344024600)","57200948121; 7006430350; 17344024600","Woman's entrepreneurship as a gendered niche: The implications for regional development policy","2020","Journal of Economic Geography","20","4","","1041","1067","26","22","10.1093/JEG/LBZ035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083803388&doi=10.1093%2fJEG%2fLBZ035&partnerID=40&md5=5986f8ea7627cc5932ce304460bf96ce","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85083803388"
"Filho W.L.; Emblen-Perry K.; Molthan-Hill P.; Mifsud M.; Verhoef L.; Azeiteiro U.M.; Bacelar-Nicolau P.; de Sousa L.O.; Castro P.; Beynaghi A.; Boddy J.; Salvia A.L.; Frankenberger F.; Price E.","Filho, Walter Leal (57210792153); Emblen-Perry, Kay (57202859530); Molthan-Hill, Petra (56074775600); Mifsud, Mark (37089431700); Verhoef, Leendert (7003309870); Azeiteiro, Ulisses Miranda (6603109821); Bacelar-Nicolau, Paula (6507462575); de Sousa, Luiza Olim (57194385354); Castro, Paula (56350395600); Beynaghi, Ali (55331058600); Boddy, Jennifer (26539100500); Salvia, Amanda Lange (57204534188); Frankenberger, Fernanda (57209338975); Price, Elizabeth (7203005874)","57210792153; 57202859530; 56074775600; 37089431700; 7003309870; 6603109821; 6507462575; 57194385354; 56350395600; 55331058600; 26539100500; 57204534188; 57209338975; 7203005874","Implementing innovation on environmental sustainability at universities around theworld","2019","Sustainability (Switzerland)","11","14","3807","","","","22","10.3390/su11143807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068909559&doi=10.3390%2fsu11143807&partnerID=40&md5=a20554c59a944cbad8d45c1813f078e6","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85068909559"
"Schwoerer K.; Keppeler F.; Mussagulova A.; Puello S.","Schwoerer, Kayla (57221980851); Keppeler, Florian (57216461119); Mussagulova, Assel (57210318886); Puello, Stephanie (57223853796)","57221980851; 57216461119; 57210318886; 57223853796","CO-DESIGN-ing a more context-based, pluralistic, and participatory future for public administration","2022","Public Administration","100","1","","72","97","25","11","10.1111/padm.12828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123941607&doi=10.1111%2fpadm.12828&partnerID=40&md5=38eb936d9a0eb5dea9d3cac22a031c40","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85123941607"
"Laasch O.; Pinkse J.","Laasch, Oliver (36998825200); Pinkse, Jonatan (55881688400)","36998825200; 55881688400","Explaining the leopards’ spots: Responsibility-embedding in business model artefacts across spaces of institutional complexity","2020","Long Range Planning","53","4","101891","","","","21","10.1016/j.lrp.2019.101891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068739746&doi=10.1016%2fj.lrp.2019.101891&partnerID=40&md5=a294fb9f6418fc65f064f6216a7b1244","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85068739746"
"Belasen A.T.","Belasen, Alan T. (23975660800)","23975660800","Women in management: A framework for sustainable work-life integration","2017","Women in Management: A Framework for Sustainable Work-Life Integration","","","","1","329","328","8","10.4324/9781315474571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020286009&doi=10.4324%2f9781315474571&partnerID=40&md5=11bf11b1f22ffac22cf8652dae8a7d36","Book","Final","","Scopus","2-s2.0-85020286009"
"Srivastava S.K.","Srivastava, Shashi Kant (57201056224)","57201056224","IT Capital in improving national innovation productivity: understanding IT productivity paradox through cognitive path-dependence model","2021","Information Technology for Development","27","2","","314","335","21","2","10.1080/02681102.2020.1850407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097563360&doi=10.1080%2f02681102.2020.1850407&partnerID=40&md5=d170e935c5e974fe006e6b82435fc477","Article","Final","","Scopus","2-s2.0-85097563360"
"Quarter J.; Mook L.; Armstrong A.","Quarter, Jack (6602240635); Mook, Laurie (6508112078); Armstrong, Ann (56846567200)","6602240635; 6508112078; 56846567200","Understanding the social economy: A Canadian perspective, second edition","2017","Understanding the Social Economy: A Canadian Perspective, Second Edition","","","","1","398","397","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041636554&partnerID=40&md5=ad513e40d77f0a6b44b6ca41ad4a190d","Book","Final","","Scopus","2-s2.0-85041636554"
"Stout M.","Stout, Margaret (36134064500)","36134064500","Logics of Legitimacy: Three Traditions of Public Administration Praxis","2017","Logics of Legitimacy: Three Traditions of Public Administration Praxis","","","","1","305","304","3","10.4324/9781315091662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146407704&doi=10.4324%2f9781315091662&partnerID=40&md5=552ef1e721ee171047f517024f91baea","Book","Final","","Scopus","2-s2.0-85146407704"
"Altantsetseg P.; Dadvari A.; Munkhdelger T.; Lkhagvasuren G.-O.; Moslehpour M.","Altantsetseg, Purevdulam (57201120129); Dadvari, Alaleh (57195529670); Munkhdelger, Tsevegjav (57219651480); Lkhagvasuren, Gerelt-Od (57219659049); Moslehpour, Massoud (51864054000)","57201120129; 57195529670; 57219651480; 57219659049; 51864054000","Sustainable development of entrepreneurial orientation through social drivers","2020","Sustainability (Switzerland)","12","21","8816","1","19","18","4","10.3390/su12218816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094561850&doi=10.3390%2fsu12218816&partnerID=40&md5=3fd314eebda66b5ce74fb0651a23d824","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85094561850"
"Roe M.","Roe, Michael (7102041594)","7102041594","Governance, policy and juxtaposition: A maritime perspective","2019","Governance, Policy and Juxtaposition: A Maritime Perspective","","","","1","339","338","1","10.1007/978-3-030-31848-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083871603&doi=10.1007%2f978-3-030-31848-2&partnerID=40&md5=dca5ba33bb06435fb71d89d821ad02d8","Book","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85083871603"
"Otache I.","Otache, Innocent (56613519800)","56613519800","Enhancing the effectiveness of entrepreneurship education: the role of entrepreneurial lecturers","2019","Education and Training","61","7-8","","918","939","21","28","10.1108/ET-06-2018-0127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063573864&doi=10.1108%2fET-06-2018-0127&partnerID=40&md5=c5463772776ab5be900f5af1ec398ce7","Article","Final","","Scopus","2-s2.0-85063573864"
"Torfing J.","Torfing, Jacob (55897898500)","55897898500","Rethinking public governance","2023","Rethinking Public Governance","","","","1","252","251","0","10.4337/9781789909777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165323532&doi=10.4337%2f9781789909777&partnerID=40&md5=597e7ef8e6afea5f1e4b6e9b84d01584","Book","Final","","Scopus","2-s2.0-85165323532"
"Brown M.-E.; Stalker K.","Brown, Mary-Ellen (56915103600); Stalker, Katie (58402630200)","56915103600; 58402630200","SOCIAL WORK SKILLS FOR COMMUNITY PRACTICE: Applied Macro Social Work, Second Edition","2022","Social Work Skills for Community Practice: Applied Macro Social Work: Second Edition","","","","1","375","374","0","10.1891/9780826158352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163445186&doi=10.1891%2f9780826158352&partnerID=40&md5=e448a17ed402dfb937d97bf2a0f2b7fd","Book","Final","","Scopus","2-s2.0-85163445186"
"Napathorn C.","Napathorn, Chaturong (57201367839)","57201367839","The development of green skills across firms in the institutional context of Thailand","2022","Asia-Pacific Journal of Business Administration","14","4","","539","572","33","10","10.1108/APJBA-10-2020-0370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118583048&doi=10.1108%2fAPJBA-10-2020-0370&partnerID=40&md5=a7726a3db3e0004084370ec57ee11730","Article","Final","","Scopus","2-s2.0-85118583048"
"Gregori P.; Wdowiak M.A.; Schwarz E.J.; Holzmann P.","Gregori, Patrick (57209229271); Wdowiak, Malgorzata A. (14010343600); Schwarz, Erich J. (7202729158); Holzmann, Patrick (57057531000)","57209229271; 14010343600; 7202729158; 57057531000","Exploring value creation in sustainable entrepreneurship: Insights from the institutional logics perspective and the business model lens","2019","Sustainability (Switzerland)","11","9","2505","","","","29","10.3390/su11092505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066931348&doi=10.3390%2fsu11092505&partnerID=40&md5=54e5aaeb27833bc0655537bf146fa1e7","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85066931348"
"Haski-Leventhal D.","Haski-Leventhal, Debbie (23094029100)","23094029100","The Purpose-Driven University: Transforming Lives and Creating Impact Through Higher Education","2020","The Purpose-Driven University: Transforming Lives and Creating Impact through Higher Education","","","","1","154","153","7","10.1108/9781838672836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148182488&doi=10.1108%2f9781838672836&partnerID=40&md5=d7f56716b74d9bdad644d3f194015e99","Book","Final","","Scopus","2-s2.0-85148182488"
"Zhu R.; Liu Z.; Zhao G.; Huang Z.; Yu Q.","Zhu, Ruijie (57314571900); Liu, Ziwen (58131551000); Zhao, Guojing (57338324200); Huang, Zhaoxin (57218397579); Yu, Qiaoyan (58131114900)","57314571900; 58131551000; 57338324200; 57218397579; 58131114900","The impact of institutional management on teacher entrepreneurship competency: The mediating role of entrepreneurial behaviour","2023","International Journal of Management Education","21","2","100794","","","","0","10.1016/j.ijme.2023.100794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149466555&doi=10.1016%2fj.ijme.2023.100794&partnerID=40&md5=20ec21c7012dbbc314396fb1c9adb373","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85149466555"
"Garrido-Ruso M.; Aibar-Guzmán B.; Monteiro A.P.","Garrido-Ruso, María (57223990469); Aibar-Guzmán, Beatriz (36241172000); Monteiro, Albertina Paula (56844685000)","57223990469; 36241172000; 56844685000","Businesses’ Role in the Fulfillment of the 2030 Agenda: A Bibliometric Analysis","2022","Sustainability (Switzerland)","14","14","8754","","","","8","10.3390/su14148754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136391674&doi=10.3390%2fsu14148754&partnerID=40&md5=f81fc6b0c8f6d1826e42a6a4f77b086b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85136391674"
"O'Brien D.; Wellbrock C.-M.","O'Brien, Daniel (57299803900); Wellbrock, Christian-Mathias (52264975500)","57299803900; 52264975500","How the Trick is Done–Conditions of Success in Entrepreneurial Digital Journalism","2021","Digital Journalism","","","","","","","2","10.1080/21670811.2021.1987947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117318955&doi=10.1080%2f21670811.2021.1987947&partnerID=40&md5=2e9b9dcd99a7a070116aa246db29954b","Article","Article in press","","Scopus","2-s2.0-85117318955"
"Calderón-Hernández G.; Jiménez-Zapata Y.A.; Serna-Gomez H.M.","Calderón-Hernández, Gregorio (35321899100); Jiménez-Zapata, Yudy Andrea (57215683102); Serna-Gomez, Héctor Mauricio (55249669200)","35321899100; 57215683102; 55249669200","Barriers to University Spin-Off Creation in an Emerging Context: An Institutional Theory of Organizations Approach","2020","Minerva","58","4","","625","650","25","5","10.1007/s11024-020-09407-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085749219&doi=10.1007%2fs11024-020-09407-4&partnerID=40&md5=8249310c8a980f592caf1e3fac375948","Article","Final","","Scopus","2-s2.0-85085749219"
"Xuecheng W.; Iqbal Q.","Xuecheng, Wei (57710977900); Iqbal, Qaisar (57201985339)","57710977900; 57201985339","Ethical Leadership, Bricolage, and Eco-Innovation in the Chinese Manufacturing Industry: A Multi-Theory Perspective","2022","Sustainability (Switzerland)","14","12","7070","","","","4","10.3390/su14127070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132309115&doi=10.3390%2fsu14127070&partnerID=40&md5=6e114f566cc32ccb04a1684c93ca9b9f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85132309115"
"Rosenbloom A.; Gudić M.; Parkes C.; Kronbach B.","Rosenbloom, Al (24462225600); Gudić, Milenko (57193925736); Parkes, Carole (24381707000); Kronbach, Britta (57194534278)","24462225600; 57193925736; 24381707000; 57194534278","A PRME response to the challenge of fighting poverty: How far have we come? Where do we need to go now?","2017","International Journal of Management Education","15","2","","104","120","16","20","10.1016/j.ijme.2017.02.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017529250&doi=10.1016%2fj.ijme.2017.02.005&partnerID=40&md5=512af4cf023c0816d94a3e386410db6f","Article","Final","","Scopus","2-s2.0-85017529250"
"Roos G.","Roos, Göran (55579721600)","55579721600","Knowledge management, intellectual capital, structural holes, economic complexity and national prosperity","2017","Journal of Intellectual Capital","18","4","","745","770","25","42","10.1108/JIC-07-2016-0072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029381845&doi=10.1108%2fJIC-07-2016-0072&partnerID=40&md5=30861129a97e164eec9c3a0ec6e9190d","Article","Final","","Scopus","2-s2.0-85029381845"
"Wang C.; Zhang X.-E.","Wang, Chao (57211440746); Zhang, Xiu-e (57219356150)","57211440746; 57219356150","Binary effects of exploratory and exploitative learning on opportunity identification: The different moderations of environmental munificence and entrepreneurial commitment","2022","Asian Business and Management","21","4","","497","524","27","8","10.1057/s41291-020-00136-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092403844&doi=10.1057%2fs41291-020-00136-w&partnerID=40&md5=a91d274b45accb602a69907bfa40e8cb","Article","Final","","Scopus","2-s2.0-85092403844"
"Howlett M.","Howlett, Michael (7004315057)","7004315057","Designing public policies: Principles and instruments: Second edition","2019","Designing Public Policies: Principles and Instruments: Second edition","","","","1","411","410","104","10.4324/9781315232003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085329740&doi=10.4324%2f9781315232003&partnerID=40&md5=74b2f498a292c7364ca6f5e5581437dc","Book","Final","","Scopus","2-s2.0-85085329740"
"Joseph J.; Awasthi S.; Mulla Z.R.","Joseph, Jacquleen (26039154000); Awasthi, Suchita (57480184000); Mulla, Zubin R. (35795783500)","26039154000; 57480184000; 35795783500","Leadership for disaster resilience: Lessons from India","2022","Leadership for Disaster Resilience: Lessons from India","","","","1","302","301","0","10.4324/9781003171362","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141009682&doi=10.4324%2f9781003171362&partnerID=40&md5=7761c9a43baeca825e260a6bc90cc03e","Book","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85141009682"
"Del Baldo M.","Del Baldo, Mara (35274688000)","35274688000","Moral and virtues-based leadership for enhancing integral ecology","2017","Contributions to Conflict Management, Peace Economics and Development","26","","","203","228","25","4","10.1108/S1572-832320170000026014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028986753&doi=10.1108%2fS1572-832320170000026014&partnerID=40&md5=5250a4ea85996f80307d674433552d88","Article","Final","","Scopus","2-s2.0-85028986753"
"Alam G.M.; Forhad M.A.R.","Alam, Gazi Mahabubul (57212029925); Forhad, Md Abdur Rahman (57215597156)","57212029925; 57215597156","Education quality comparing between official measurement scale and inter-counterparts' perception: A new horizon for learning assessment","2022","International Journal of Learning and Change","14","1","","1","21","20","1","10.1504/IJLC.2022.119506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121269083&doi=10.1504%2fIJLC.2022.119506&partnerID=40&md5=94ab39da5a5ae1097753c8ff8d6ae25a","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85121269083"
"Karlsdottir V.; Torfason M.T.; Edvardsson I.R.; Heijstra T.M.","Karlsdottir, Verena (57357624700); Torfason, Magnus Thor (36610833200); Edvardsson, Ingi Runar (6507942403); Heijstra, Thamar Melanie (36198318300)","57357624700; 36610833200; 6507942403; 36198318300","Barriers to academic collaboration with industry and community: Individual and organisational factors","2023","Industry and Higher Education","","","","","","","0","10.1177/09504222231173953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162958674&doi=10.1177%2f09504222231173953&partnerID=40&md5=79cbd8aa74235e83b23ba11e95526e60","Article","Article in press","","Scopus","2-s2.0-85162958674"
"Breznitz D.","Breznitz, Dan (57203470591)","57203470591","Innovation in real places: Strategies for prosperity in an unforgiving world","2021","Innovation in Real Places: Strategies for Prosperity in an Unforgiving World","","","","1","263","262","23","10.1093/oso/9780197508114.001.0001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085625600&doi=10.1093%2foso%2f9780197508114.001.0001&partnerID=40&md5=19b49b62476d3fd50074d411871569c7","Book","Final","","Scopus","2-s2.0-85085625600"
"Otache I.; Umar K.; Audu Y.; Onalo U.","Otache, Innocent (56613519800); Umar, Kadiri (57211713426); Audu, Yakubu (57211715949); Onalo, Ugbede (57211713781)","56613519800; 57211713426; 57211715949; 57211713781","The effects of entrepreneurship education on students’ entrepreneurial intentions: A longitudinal approach","2021","Education and Training","63","7-8","","967","991","24","29","10.1108/ET-01-2019-0005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074895857&doi=10.1108%2fET-01-2019-0005&partnerID=40&md5=65bdaf9b101335ad849947eafdefecbd","Article","Final","","Scopus","2-s2.0-85074895857"
"Volchik V.; Maslyukova E.; Strielkowski W.","Volchik, Vyacheslav (55967741800); Maslyukova, Elena (57193719745); Strielkowski, Wadim (36620065300)","55967741800; 57193719745; 36620065300","Perception of Scientific and Social Values in the Sustainable Development of National Innovation Systems","2023","Social Sciences","12","4","215","","","","0","10.3390/socsci12040215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153787310&doi=10.3390%2fsocsci12040215&partnerID=40&md5=564bac517f410ae0a995e0ce3342d29f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85153787310"
"Iqbal Q.; Piwowar-Sulej K.","Iqbal, Qaisar (57201985339); Piwowar-Sulej, Katarzyna (56835774100)","57201985339; 56835774100","Sustainable leadership in higher education institutions: social innovation as a mechanism","2022","International Journal of Sustainability in Higher Education","23","8","","1","20","19","28","10.1108/IJSHE-04-2021-0162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122063169&doi=10.1108%2fIJSHE-04-2021-0162&partnerID=40&md5=14323b720168ba42ebde348669967851","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85122063169"
"Kasemsap K.","Kasemsap, Kijpokin (56926697100)","56926697100","Corporate social responsibility: Theory and applications","2017","Strategic Human Capital Development and Management in Emerging Economies","","","","188","218","30","3","10.4018/978-1-5225-1974-4.ch009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015848195&doi=10.4018%2f978-1-5225-1974-4.ch009&partnerID=40&md5=ec94344573d60e74ebb135d32ad686e2","Book chapter","Final","","Scopus","2-s2.0-85015848195"
"Golka P.","Golka, Philipp (55945317200)","55945317200","Financialization as Welfare: Social Impact Investing and British Social Policy, 1997-2016","2019","Financialization as Welfare: Social Impact Investing and British Social Policy, 1997-2016","","","","1","265","264","8","10.1007/978-3-030-06100-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118534127&doi=10.1007%2f978-3-030-06100-5&partnerID=40&md5=3d530d69119a9935ca9b5615375dcd73","Book","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85118534127"
"Spencer S.B.; Skalaban I.A.","Spencer, Sarah Busse (54396164600); Skalaban, Irina A. (56556983100)","54396164600; 56556983100","Organizational Culture in Civic Associations in Russia","2018","Voluntas","29","5","","1080","1097","17","5","10.1007/s11266-017-9925-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038828364&doi=10.1007%2fs11266-017-9925-2&partnerID=40&md5=da8a58908ead2f4d6e50ca691ef3e974","Article","Final","","Scopus","2-s2.0-85038828364"
"Jeong S.S.; Alhanaee D.W.T.A.","Jeong, Sophia Soyoung (57214105507); Alhanaee, Dhia Waddah Talib Ali (57220892316)","57214105507; 57220892316","Prosocial Motivation as a Driver of Social Innovation in the UAE","2020","Social Science Quarterly","101","7","","2450","2464","14","6","10.1111/ssqu.12913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097843546&doi=10.1111%2fssqu.12913&partnerID=40&md5=cf684e936d3189c98ed18577c0a8c285","Article","Final","","Scopus","2-s2.0-85097843546"
"Yun J.J.; Liu Z.","Yun, JinHyo Joseph (55419994900); Liu, Zheng (57190680108)","55419994900; 57190680108","Micro- and macro-dynamics of open innovation with a Quadruple-Helix model","2019","Sustainability (Switzerland)","11","12","3301","","","","203","10.3390/SU11123301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069821418&doi=10.3390%2fSU11123301&partnerID=40&md5=61f5b23b4c6f4e822a4ff0c20ceb4744","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85069821418"
"","","","Compilation of references","2021","Handbook of Research on Promoting Social Justice for Immigrants and Refugees Through Active Citizenship and Intercultural Education","","","","395","453","58","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128269342&partnerID=40&md5=01302f0ea3f201b72641cce7548e6b7a","Book chapter","Final","","Scopus","2-s2.0-85128269342"
"Baumgartner D.; Pütz M.; Seidl I.","Baumgartner, Daniel (24536824000); Pütz, Marco (23570896100); Seidl, Irmi (6602590202)","24536824000; 23570896100; 6602590202","What Kind of Entrepreneurship Drives Regional Development in European Non-core Regions? A Literature Review on Empirical Entrepreneurship Research","2013","European Planning Studies","21","8","","1095","1127","32","79","10.1080/09654313.2012.722937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881644380&doi=10.1080%2f09654313.2012.722937&partnerID=40&md5=572bf9b826a4287dc1980d2e09269d25","Article","Final","","Scopus","2-s2.0-84881644380"
"Paquette J.; Redaelli E.","Paquette, Jonathan (25825540800); Redaelli, Eleonora (40762201000)","25825540800; 40762201000","Arts management and cultural policy research","2015","Arts Management and Cultural Policy Research","","","","1","162","161","34","10.1057/9781137460929","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960239790&doi=10.1057%2f9781137460929&partnerID=40&md5=7732055d3afabb7d0a068c879bac51ee","Book","Final","","Scopus","2-s2.0-84960239790"
"Pant L.P.","Pant, Laxmi Prasad (36490290700)","36490290700","Learning and Innovation Competence in Agricultural and Rural Development","2012","Journal of Agricultural Education and Extension","18","3","","205","230","25","24","10.1080/1389224X.2012.670050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861409664&doi=10.1080%2f1389224X.2012.670050&partnerID=40&md5=df9fe4b60c0622c6e1973ddfe8177510","Article","Final","","Scopus","2-s2.0-84861409664"
"Goodman D.S.G.","Goodman, David S. G. (57203077824)","57203077824","Handbook of the Politics of China","2015","Handbook of the Politics of China","","","","1","554","553","3","10.4337/9781782544371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128293989&doi=10.4337%2f9781782544371&partnerID=40&md5=f27a50add5832d30b5c9ff9220b8041a","Book","Final","","Scopus","2-s2.0-85128293989"
"Manning S.; Roessler D.","Manning, Stephan (7103371319); Roessler, Daniel (55811777600)","7103371319; 55811777600","The Formation of Cross-Sector Development Partnerships: How Bridging Agents Shape Project Agendas and Longer-Term Alliances","2014","Journal of Business Ethics","123","3","","527","547","20","69","10.1007/s10551-013-1853-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930145340&doi=10.1007%2fs10551-013-1853-5&partnerID=40&md5=7f84ab123f4f195ea7867f1e761c2ed8","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84930145340"
"Mars M.M.; Rios-Aguilar C.","Mars, Matthew M. (16245492800); Rios-Aguilar, Cecilia (35847796700)","16245492800; 35847796700","Academic entrepreneurship (re)defined: Significance and implications for the scholarship of higher education","2010","Higher Education","59","4","","441","460","19","80","10.1007/s10734-009-9258-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951204626&doi=10.1007%2fs10734-009-9258-1&partnerID=40&md5=d0bde5b0bdf6a6ff065ebe8918b7fd60","Article","Final","","Scopus","2-s2.0-77951204626"
"Parker B.","Parker, Barbara (7202767035)","7202767035","Introduction to globalization and business: Relationships and responsibilities","2005","Introduction to Globalization and Business: Relationships and Responsibilities","","","","1","523","522","24","10.4135/9781446215869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949761830&doi=10.4135%2f9781446215869&partnerID=40&md5=6c7dfa85b7b1366d82b0a47067f4ed30","Book","Final","","Scopus","2-s2.0-84949761830"
"Martins J.T.; Baptista Nunes M.","Martins, Jorge Tiago (36461479500); Baptista Nunes, Miguel (7102001982)","36461479500; 7102001982","Academics’ e-learning adoption in higher education institutions: a matter of trust","2016","Learning Organization","23","5","","299","331","32","27","10.1108/TLO-05-2015-0034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985960390&doi=10.1108%2fTLO-05-2015-0034&partnerID=40&md5=c3e21f53d178aede0038fa5d2e9a4e3e","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84985960390"
"Free R.C.","Free, Rhona C. (41861569400)","41861569400","21st century economics: A reference handbook","2010","21st Century Economics: A Reference Handbook","","","","1","1000","999","7","10.4135/9781412979290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950289500&doi=10.4135%2f9781412979290&partnerID=40&md5=3c90a91adea6543271c4a75c5eb1f896","Book","Final","","Scopus","2-s2.0-84950289500"
"Goodchild B.","Goodchild, Barry (6701415788)","6701415788","Markets, politics and the environment: An introduction to planning theory","2016","Markets, Politics and the Environment: An Introduction to Planning Theory","","","","1","288","287","0","10.4324/9781315620640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022039610&doi=10.4324%2f9781315620640&partnerID=40&md5=ffe80b39bfe52c86f3435e17077d4039","Book","Final","","Scopus","2-s2.0-85022039610"
