"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Abhari K.; Pesavento M.; Williams D.","Abhari, Kaveh (56960354500); Pesavento, Michael (57219474122); Williams, David (57223622420)","56960354500; 57219474122; 57223622420","Supporting participatory innovation during the COVID-19 pandemic: a comparative study of enterprise social media use","2023","Information Technology and People","36","5","","2030","2062","32","0","10.1108/ITP-01-2021-0041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130899902&doi=10.1108%2fITP-01-2021-0041&partnerID=40&md5=509592458c13c1490d90b472a059a4d3","Article","Final","","Scopus","2-s2.0-85130899902"
"Kekez A.; Howlett M.; Ramesh M.","Kekez, Anka (57193512605); Howlett, Michael (7004315057); Ramesh, M. (7006248680)","57193512605; 7004315057; 7006248680","Collaboration in Public Service Delivery: Promise and Pitfalls","2019","Collaboration in Public Service Delivery: Promise and Pitfalls","","","","1","348","347","12","10.4337/9781788978583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136067925&doi=10.4337%2f9781788978583&partnerID=40&md5=d122bed73a86918172f73c0160de070e","Book","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85136067925"
"Raišienė A.G.; Bilan S.; Smalskys V.; Gečienė J.","Raišienė, Agota Giedrė (55115854900); Bilan, Svitlana (57211968274); Smalskys, Vainius (55325349700); Gečienė, Jolita (57211966220)","55115854900; 57211968274; 55325349700; 57211966220","Emerging changes in attitudes to inter-institutional collaboration: The case of organizations providing social services in communities","2019","Administratie si Management Public","2019","33","","34","56","22","18","10.24818/amp/2019.33-03","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075535579&doi=10.24818%2famp%2f2019.33-03&partnerID=40&md5=9fc1593b57a5ed71141e2ab4ce7eaef8","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85075535579"
"He L.; Ismail K.","He, Liying (57204514384); Ismail, Kamisah (54401333300)","57204514384; 54401333300","Do staff capacity and performance-based budgeting improve organisational performance? Empirical evidence from Chinese public universities","2023","Humanities and Social Sciences Communications","10","1","29","","","","2","10.1057/s41599-023-01523-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146669608&doi=10.1057%2fs41599-023-01523-2&partnerID=40&md5=1806640d19c90cb653f7cef0b22b6427","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85146669608"
"Opuni F.F.; Snowden M.; Winful E.C.; Hyams-Ssekasi D.; Halsall J.P.; Quaye J.N.A.; Afriyie E.O.; Ocloo E.C.; Opoku-Asante K.","Opuni, Frank Frimpong (57204883225); Snowden, Michael (36865910600); Winful, Ernest Christian (57225995744); Hyams-Ssekasi, Denis (56593195600); Halsall, Jamie P. (36144067700); Quaye, Josiah Nii Adu (57929388400); Afriyie, Emelia Ohene (57929200000); Ocloo, Elikem Chosniel (57577687500); Opoku-Asante, Kofi (57930329200)","57204883225; 36865910600; 57225995744; 56593195600; 36144067700; 57929388400; 57929200000; 57577687500; 57930329200","The Nexus between Entrepreneurial Education and Entrepreneurial Self-Competencies: A Social Enterprise Perspective","2022","Sustainability (Switzerland)","14","19","12725","","","","1","10.3390/su141912725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139936173&doi=10.3390%2fsu141912725&partnerID=40&md5=5334fb1a5a8e95031f867a84505b0c12","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85139936173"
"Loeffler E.","Loeffler, Elke (18634470800)","18634470800","Co-Production of Public Services and Outcomes","2020","Co-Production of Public Services and Outcomes","","","","1","444","443","10","10.1007/978-3-030-55509-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150046435&doi=10.1007%2f978-3-030-55509-2&partnerID=40&md5=aa455226928bd97e94de66cebf64351c","Book","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85150046435"
"Chang Y.-C.; Chen P.-H.; Teng M.-J.","Chang, Yuan-Chieh (12244396600); Chen, Po-Hsuan (57211999726); Teng, Min-Jun (57208305813)","12244396600; 57211999726; 57208305813","How do institutional changes facilitate university-centric networks in Taiwan? The Triple Helix model of innovation view","2021","Science and Public Policy","48","3","","309","324","15","8","10.1093/scipol/scaa076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112030553&doi=10.1093%2fscipol%2fscaa076&partnerID=40&md5=e34c1f8e3fa2c5ea024c04625f6aa4b4","Article","Final","","Scopus","2-s2.0-85112030553"
"Loureiro S.M.C.; Guerreiro J.","Loureiro, Sandra Maria Correia (27467492100); Guerreiro, João (57201342913)","27467492100; 57201342913","Handbook of research on developing a post-pandemic paradigm for virtual technologies in higher education","2021","Handbook of Research on Developing a Post-Pandemic Paradigm for Virtual Technologies in Higher Education","","","","1","432","431","0","10.4018/978-1-7998-6963-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128090744&doi=10.4018%2f978-1-7998-6963-4&partnerID=40&md5=b2145bdbaa313761f166e5d60d37d045","Book","Final","","Scopus","2-s2.0-85128090744"
"Barrera-Verdugo G.","Barrera-Verdugo, Gustavo (57194101578)","57194101578","Impact of self-perceptions, social norms, and social capital on nascent entrepreneurs: a comparative analysis by level of economic development in Latin American countries","2021","Journal of Innovation and Entrepreneurship","10","1","41","","","","2","10.1186/s13731-021-00186-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118290357&doi=10.1186%2fs13731-021-00186-0&partnerID=40&md5=22c5e81d2c830705499bb5bac896798c","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85118290357"
"Bertin G.; Ellison M.; Moro G.","Bertin, Giovanni (56819916500); Ellison, Marion (56039340400); Moro, Giuseppe (7102034198)","56819916500; 56039340400; 7102034198","The European Social Model and an Economy of Well-being: Repairing the Social Fabric of European Societies","2021","The European Social Model and an Economy of Well-being: Repairing the Social Fabric of European Societies","","","","1","250","249","2","10.4337/9781800378070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104891998&doi=10.4337%2f9781800378070&partnerID=40&md5=a1d3f604bc0dae9e9724b026a87da41c","Book","Final","","Scopus","2-s2.0-85104891998"
